energy,cdf
0,0.0
1,3.64271362314533e-12
3,2.942555219566628e-10
5,2.2642960212820255e-09
7,8.674769402367092e-09
8,1.4778544080359329e-08
10,3.598179354998632e-08
12,7.440770359518874e-08
14,1.3747197557029163e-07
15,1.809136144573252e-07
17,2.9765248814866164e-07
19,4.6316406153713577e-07
21,6.892920124929483e-07
22,8.291234970092774e-07
24,1.171055773533008e-06
26,1.6085298067473366e-06
28,2.1575951077807505e-06
29,2.4793080374413736e-06
31,3.228389025754212e-06
33,4.134228028357029e-06
35,5.216862785756123e-06
36,5.831041664127019e-06
38,7.2188426797425546e-06
40,8.838309192141077e-06
42,1.071325406969036e-05
44,1.28685302734375e-05
45,1.4059339405382995e-05
47,1.6683945470554264e-05
49,1.965545483625522e-05
51,2.3002228159883237e-05
52,2.482546575569206e-05
54,2.879041709145997e-05
56,3.320571873525793e-05
58,3.8103036091447814e-05
59,4.074259470016472e-05
61,4.64242891186198e-05
63,5.2671098087728245e-05
65,5.951779319018068e-05
66,6.317719745635987e-05
68,7.099077707701296e-05
70,7.949486317542622e-05
72,8.872713928772037e-05
73,9.362834303279308e-05
75,0.00010402529983605393
77,0.00011524810833483934
79,0.0001273371741005257
81,0.0001403336461443537
82,0.00014718521816377706
84,0.00016162154326873778
86,0.00017707130116925612
88,0.000193578125
89,0.000202241757365057
91,0.00022041746798835617
93,0.00023976225497536967
95,0.0002603220553709715
96,0.00027107211241693315
98,0.0002935419297992709
100,0.00031734430964800743
102,0.0003425273168901117
103,0.0003556517340141074
105,0.00038299706074404135
107,0.0004118456676742331
109,0.00044224757573373255
110,0.0004580467939376831
112,0.0004908735939146837
114,0.0005253810270256959
116,0.0005616209024329208
118,0.0005996455099786726
119,0.0006193435570480462
121,0.0006601443251147866
123,0.0007028625660609291
125,0.0007475521482402397
126,0.0007706531418171547
128,0.0008184016579933537
130,0.0008682580032097182
132,0.0009202774658203125
133,0.0009471157472315959
135,0.0010024843732070498
137,0.0010601559601687205
139,0.0011201870619492865
140,0.0011511051955600089
142,0.0012147823347183763
144,0.0012809618067188922
146,0.001349701280303623
147,0.001385049119187752
149,0.001457737358311495
151,0.0015331310199551247
153,0.001611288741116313
155,0.0016922694090444603
156,0.0017338368158918754
158,0.001819162836550082
160,0.0019074600412753602
162,0.0019987881027115923
163,0.002045607407093846
165,0.0021415940718725324
